Date,0_0,0_1,0_2,0_3,0_4,0_5,0_6,1_0,1_1,1_2,1_3,1_4,1_5,1_6,2_0,2_1,2_2,2_3,2_4,2_5,2_6,3_0,3_1,3_2,3_3,3_4,3_5,3_6,4_0,4_1,4_2,4_3,4_4,4_5,4_6,5_0,5_1,5_2,5_3,5_4,5_5,5_6,6_0,6_1,6_2,6_3,6_4,6_5,6_6,7_0,7_1,7_2,7_3,7_4,7_5,7_6,8_0,8_1,8_2,8_3,8_4,8_5,8_6,9_0,9_1,9_2,9_3,9_4,9_5,9_6
2010-01-01,25522,21233,22903,9526,28928,26174,25064,26469,22977,27665,11083,31640,29720,29522,27179,21639,21422,9878,29083,27837,26975,24691,21359,22554,9835,28314,30126,26056,29118,22941,27737,12053,31224,28067,28134,27166,24166,25742,11145,31051,27302,28302,27225,22726,23142,11626,29987,30905,28865,26862,22107,27282,12361,33095,27762,27622,23359,22237,24356,9490,30894,25662,24362,24266,23369,25343,10873,29165,27087,26851
2010-02-01,23684,19192,20915,8652,26006,22933,22566,23646,21232,24802,10114,28393,26774,26751,23863,19344,19431,8933,25852,25012,23997,21873,20084,19978,8644,24850,27861,23244,25923,20709,24984,10645,28022,25857,25455,24565,22119,23146,10113,28275,24299,25273,24210,20419,20193,10742,26324,29265,25791,23741,19729,24843,11254,30528,25671,24890,20996,20688,22137,8678,27919,23346,21356,21567,21273,22609,9998,25810,23762,24000
2010-03-01,26803,21258,23264,9726,28711,25015,24804,25514,24206,27138,11375,31516,29279,29623,25997,21281,21540,10075,28202,27425,26164,24029,22723,21756,9408,27084,31084,25568,28141,22987,27215,11616,30465,28969,28331,27161,24678,25507,11113,31270,26604,27553,26725,22843,21948,12007,28629,33407,28239,25990,21518,27721,12426,34278,28583,27688,22954,23426,24775,9522,31054,25915,23219,23657,23799,24768,10983,28192,25737,26207
2010-04-01,25893,20690,22680,9386,27863,24162,23967,24136,24377,25838,11145,30409,28028,28868,25186,20532,20907,9618,27253,26342,25210,23217,21953,21050,9166,25994,29879,24832,26249,22302,25829,11052,28894,28637,27665,26196,24107,24269,10837,30340,25417,26165,25886,22133,21374,11612,27600,32480,27385,25357,20863,26843,12084,33328,27704,26673,22045,22651,23883,9134,29978,24985,22386,22965,22963,23888,10606,27104,25040,25508
2010-05-01,26376,21420,23221,9552,28723,25085,24897,24234,26092,26376,11853,31238,28740,29935,26615,21349,21550,10012,28681,26928,26379,24463,22233,22064,9488,27197,30068,25749,26352,23182,26097,11202,29227,30147,28636,26855,25244,25008,11230,31200,25972,26492,26904,23007,22423,12019,28882,32897,28475,26663,21840,27642,12465,33993,28413,27567,22548,23047,24597,9450,30986,25801,23644,23955,23494,24918,10955,28212,26549,26532
2010-06-01,24807,20726,22109,9160,27820,24638,24213,23219,25788,25334,11581,30395,27589,29109,26703,20650,20878,9565,28388,25707,26037,24383,20591,21874,9592,27196,27854,25077,25238,22257,25287,10573,28052,29410,27767,25971,24561,24168,10692,30233,24902,25323,26284,22143,22422,11155,28606,30512,27941,26576,21350,26648,11904,32468,26939,26505,21706,21405,23492,9011,30039,24757,23581,23811,22324,24626,10469,27838,26691,25981
2010-07-01,24830,21524,22438,9445,28694,26072,25323,23833,26664,26013,12061,31252,28472,30203,28618,21268,21613,9788,30169,26431,27600,25836,20485,23167,10132,28869,27282,26015,26056,23106,25923,11022,28980,30701,28645,26957,25413,24936,11234,31334,25585,26294,27504,23039,23925,11191,30424,30072,29293,28385,22557,27207,12166,32851,27366,27285,22261,21285,23827,9353,30791,25453,25111,25211,22760,26126,10803,29350,28736,27284
2010-08-01,24135,21555,22027,9414,28659,26622,25483,23893,26003,26313,11829,31230,28564,29918,29633,21342,21630,9706,30958,25974,28049,26625,19585,23832,10438,29603,26074,26192,26544,23065,26297,11088,29384,30615,28612,27147,25348,24991,11182,31424,25551,26572,27970,23124,24712,10793,31154,28806,29752,29206,23130,27061,12031,32209,26819,27046,22154,20501,23719,9234,30767,25258,25788,25824,22265,26753,10711,29795,29734,27618
2010-09-01,23011,20759,21200,8919,27591,25882,24579,23424,24520,25755,11250,30132,27627,28838,29283,20708,20826,9274,30319,25138,27469,26014,18381,23377,10261,29112,24469,25486,26514,22352,25879,10948,28870,29321,27528,26501,24389,24479,10751,30608,24676,26115,27175,22407,24324,10149,30480,27127,29023,28674,22495,26117,11540,30779,25758,26130,21265,19383,22728,8858,29702,24252,25452,25361,21338,26158,10266,29066,29433,26971
2010-10-01,23770,21487,21842,9254,28513,26674,25634,24518,24525,27167,11507,31053,28878,29625,30244,21300,21572,9600,31370,25703,28452,26968,18955,24122,10643,29971,25047,26413,28236,23246,27209,11752,30375,30311,28259,27667,25026,25599,11189,31588,25402,27456,27959,23193,25210,10646,31392,28082,29963,29774,23292,26976,12027,31925,26576,27045,21862,19991,23457,9190,30713,25201,26209,26233,22015,26905,10612,29983,30476,27838
